item_id,title,brand,category_id,domain_id,price,base_price,original_price,currency,condition,seller_id,free_shipping,logistic_type,available_quantity,listing_type_id,permalink,status,catalog_listing,catalog_product_id,seller_city,seller_state,seller_country
MLB3358929321,Roku Express 4k | Dispositivo De Streaming Hd/4k/hdr Com Controle Remoto Simples E Botões De Atalho. Inclui Cabo Hdmi® Premium,Roku,MLB133950,MLB-STREAMING_MEDIA_DEVICES,499.0,499.0,,BRL,new,54795867,True,fulfillment,,gold_pro,https://produto.mercadolivre.com.br/MLB-3358929321-roku-express-4k-dispositivo-de-streaming-hd4khdr-com-controle-remoto-simples-e-botoes-de-atalho-inclui-cabo-hdmi-premium-_JM,active,True,MLB18103065,Belo Horizonte,Minas Gerais,Brasil
MLB2927642619,Mi Box S 4k 8gb - Novo - C/ Nota,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,495.32,495.32,,BRL,new,75485578,True,xd_drop_off,,gold_special,https://produto.mercadolivre.com.br/MLB-2927642619-mi-box-s-4k-8gb-novo-c-nota-_JM,active,False,MLB13877782,Curitiba,Paraná,Brasil
MLB3539017244,Xiaomi Mi Stick 4k Novo 2023 8gb 2gb Lacrado 2nd Geração+ Nf,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,429.99,429.99,,BRL,new,1028695552,True,xd_drop_off,,gold_special,https://produto.mercadolivre.com.br/MLB-3539017244-xiaomi-mi-stick-4k-novo-2023-8gb-2gb-lacrado-2nd-geraco-nf-_JM,active,False,MLB22726590,Serra,Espírito Santo,Brasil
MLB3814228570,Xiaomi Mi Tv Stick Mdz-24-aa De Voz Full Hd 8gb Preto,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,349,349,,BRL,new,1365270857,True,cross_docking,,gold_pro,https://produto.mercadolivre.com.br/MLB-3814228570-xiaomi-mi-tv-stick-mdz-24-aa-de-voz-full-hd-8gb-preto-_JM,active,False,MLB15984002,São Paulo,São Paulo,Brasil
MLB3246922723,Roku Express Streaming Player Conversor Smart Tv Full Hd,Roku,MLB133950,MLB-STREAMING_MEDIA_DEVICES,299.0,299.0,,BRL,new,54795867,True,fulfillment,,gold_pro,https://produto.mercadolivre.com.br/MLB-3246922723-roku-express-streaming-player-conversor-smart-tv-full-hd-_JM,active,False,MLB15970893,Belo Horizonte,Minas Gerais,Brasil
MLB3120835354,Xiaomi Stick 4k Mdz-27-aa  4k 8gb Preto Com 2gb De Memória ,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,433.01,433.01,,BRL,new,75485578,True,xd_drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-3120835354-xiaomi-stick-4k-mdz-27-aa-4k-8gb-preto-com-2gb-de-memoria-_JM,active,False,MLB22726590,Curitiba,Paraná,Brasil
MLB3822916209,Mi Tv Stick Xiaomi 4k Controle Voz Full Hd 2ª Geração Preto,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,399.99,399.99,,BRL,new,1187108276,True,drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-3822916209-mi-tv-stick-xiaomi-4k-controle-voz-full-hd-2-geraco-preto-_JM,active,False,MLB38431085,São José dos Pinhais,Paraná,Brasil
MLB3968813211,Tv Box S Xiaomi 4k Ultra Hd Google Tv Cor Preto Tipo De Controle Remoto De Voz,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,470,470,,BRL,new,289135585,True,drop_off,,gold_special,https://produto.mercadolivre.com.br/MLB-3968813211-tv-box-s-xiaomi-4k-ultra-hd-google-tv-cor-preto-tipo-de-controle-remoto-de-voz-_JM,active,True,MLB45000200,São Paulo,São Paulo,Brasil
MLB4541010186,Roku Express Dispositivo De Streaming Player Full Hd,Roku,MLB133950,MLB-STREAMING_MEDIA_DEVICES,239.9,239.9,,BRL,new,1477280987,True,fulfillment,,gold_special,https://produto.mercadolivre.com.br/MLB-4541010186-roku-express-dispositivo-de-streaming-player-full-hd-_JM,active,False,,Itajaí,Santa Catarina,Brasil
MLB3932204675,"Kit 2 Roku Express Loja Oficial Com Alexa, Siri E Google",Roku,MLB133950,MLB-STREAMING_MEDIA_DEVICES,458.9,458.9,,BRL,new,1812029303,True,drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-3932204675-kit-2-roku-express-loja-oficial-com-alexa-siri-e-google-_JM,active,False,,Extrema,Minas Gerais,Brasil
